Symbol,Security,SandP100,FoundedYear,YearOnList,Sector,StateCountry
AZO,AutoZone Inc,0,1979,1997,Consumer Discretionary,Other
BA,Boeing Company,1,1916,1957,Industrials,Illinois
BAC,Bank of America Corp,1,1998,1976,Financials,North Carolina
BAX,Baxter International Inc.,0,1931,1972,Health Care,Illinois
BBY,Best Buy Co. Inc.,0,1966,1999,Consumer Discretionary,Minnesota
BDX,Becton Dickinson,0,1897,1972,Health Care,New Jersey
BEN,Franklin Resources,0,1947,,Financials,California
BF.B,Brown-Forman Corp.,0,1870,1982,Consumer Staples,Other
BIIB,Biogen Inc.,1,1978,2003,Health Care,Massachusetts
BIO,Bio-Rad Laboratories,0,1952,2020,Health Care,California
BK,The Bank of New York Mellon,1,1784,1995,Financials,New York
BKNG,Booking Holdings Inc,1,1996,2009,Consumer Discretionary,Connecticut
BKR,Baker Hughes Co,0,2017,2017,Energy,Texas
BLK,BlackRock,1,1988,2011,Financials,New York
BLL,Ball Corp,0,1880,1984,Materials,Other
BMY,Bristol-Myers Squibb,1,1989,1957,Health Care,New York
BR,Broadridge Financial Solutions,0,1962,2018,Information Technology,New York
BRK.B,Berkshire Hathaway,1,1839,2010,Financials,Other
BSX,Boston Scientific,0,1979,1995,Health Care,Massachusetts
BWA,BorgWarner,0,1880,2011,Consumer Discretionary,Michigan
BXP,Boston Properties,0,1970,2006,Real Estate,Massachusetts
C,Citigroup Inc.,1,1998,1988,Financials,New York
CAG,Conagra Brands,0,1919,1983,Consumer Staples,Illinois
CAH,Cardinal Health Inc.,0,1971,1997,Health Care,Ohio
CARR,Carrier Global,0,2020,2020,Industrials,Florida
CAT,Caterpillar Inc.,1,1925,1957,Industrials,Illinois
CB,Chubb Limited,0,1985,2010,Financials,International
CBOE,Cboe Global Markets,0,1973,2017,Financials,Illinois
CBRE,CBRE Group,0,1906,2006,Real Estate,California
CCI,Crown Castle International Corp.,0,1994,2012,Real Estate,Texas
CCL,Carnival Corp.,0,1972,1998,Consumer Discretionary,Florida
CDNS,Cadence Design Systems,0,1988,2017,Information Technology,California
CDW,CDW,0,1984,2019,Information Technology,Illinois
CE,Celanese,0,1918,2018,Materials,Texas
CERN,Cerner,0,1979,2010,Health Care,Other
CF,CF Industries Holdings Inc,0,1946,2008,Materials,Illinois
CFG,Citizens Financial Group,0,1828,2016,Financials,Other
CHD,Church & Dwight,0,1847,2015,Consumer Staples,New Jersey
CHRW,C. H. Robinson Worldwide,0,1905,2007,Industrials,Minnesota
CHTR,Charter Communications,1,1993,2016,Communication Services,Connecticut
CI,CIGNA Corp.,0,1982,1976,Health Care,Connecticut
CINF,Cincinnati Financial,0,1950,1997,Financials,Ohio
CL,Colgate-Palmolive,1,1806,1957,Consumer Staples,New York
CLX,The Clorox Company,0,1913,1969,Consumer Staples,California
CMA,Comerica Inc.,0,1849,1995,Financials,Texas
CMCSA,Comcast Corp.,1,1963,2002,Communication Services,Pennsylvania
CME,CME Group Inc.,0,1848,2006,Financials,Illinois
CMG,Chipotle Mexican Grill,0,1993,2011,Consumer Discretionary,California
CMI,Cummins Inc.,0,1919,1965,Industrials,Other
CMS,CMS Energy,0,1886,1999,Utilities,Michigan
CNC,Centene Corporation,0,1984,2016,Health Care,Other
CNP,CenterPoint Energy,0,1882,1985,Utilities,Texas
COF,Capital One Financial,1,1935,1998,Financials,Virginia
COG,Cabot Oil & Gas,0,1989,2008,Energy,Texas
COO,The Cooper Companies,0,1958,2016,Health Care,California
COP,ConocoPhillips,1,2002,1957,Energy,Texas
COST,Costco Wholesale Corp.,1,1976,1993,Consumer Staples,Washington
CPB,Campbell Soup,0,1869,1957,Consumer Staples,New Jersey
CPRT,Copart Inc,0,1982,2018,Industrials,Texas
CRM,Salesforce.com,1,1999,2008,Information Technology,California
CSCO,Cisco Systems,1,1984,1993,Information Technology,California
CSX,CSX Corp.,0,1980,1967,Industrials,Florida
CTAS,Cintas Corporation,0,1929,2001,Industrials,Ohio
CTLT,Catalent,0,2007,2020,Health Care,New Jersey
CTSH,Cognizant Technology Solutions,0,1994,2006,Information Technology,New Jersey
CTVA,Corteva,0,2019,2019,Materials,Other
CTXS,Citrix Systems,0,1989,1999,Information Technology,Florida
CVS,CVS Health,1,1996,1957,Health Care,Other
CVX,Chevron Corp.,1,1879,1957,Energy,California
CXO,Concho Resources,0,2004,2016,Energy,Texas
D,Dominion Energy,0,1983,,Utilities,Virginia
DAL,Delta Air Lines Inc.,0,1929,2013,Industrials,Georgia
DD,DuPont de Nemours Inc,1,2017,2019,Materials,Michigan
DE,Deere & Co.,0,1837,1957,Industrials,Illinois
DFS,Discover Financial Services,0,1985,2007,Financials,Illinois
DG,Dollar General,0,1939,2012,Consumer Discretionary,Other
DGX,Quest Diagnostics,0,1967,2002,Health Care,New Jersey
DHI,D. R. Horton,0,1978,2005,Consumer Discretionary,Texas
DHR,Danaher Corp.,1,1969,,Health Care,Other
DIS,The Walt Disney Company,1,1923,1976,Communication Services,California
DISCA,"Discovery, Inc. (Class A)",0,1985,2010,Communication Services,Maryland
DISCK,"Discovery, Inc. (Class C)",0,1985,2014,Communication Services,Maryland
DISH,Dish Network,0,1980,2017,Communication Services,Other
DLR,Digital Realty Trust Inc,0,2004,2016,Real Estate,California
DLTR,Dollar Tree,0,1986,2011,Consumer Discretionary,Virginia
DOV,Dover Corporation,0,1955,1985,Industrials,Illinois
DOW,Dow Inc.,1,2019,2019,Materials,Michigan
DPZ,Domino's Pizza,0,1960,2020,Consumer Discretionary,Michigan
DRE,Duke Realty Corp,0,1972,2017,Real Estate,Other
DRI,Darden Restaurants,0,1938,,Consumer Discretionary,Florida
DTE,DTE Energy Co.,0,1995,1957,Utilities,Michigan
DUK,Duke Energy,1,1904,1976,Utilities,North Carolina
DVA,DaVita Inc.,0,1979,2008,Health Care,Other
DVN,Devon Energy,0,1971,2000,Energy,Other
DXC,DXC Technology,0,2017,2017,Information Technology,Virginia
DXCM,DexCom,0,1999,2020,Health Care,California
EA,Electronic Arts,0,1982,2002,Communication Services,California
EBAY,eBay Inc.,0,1995,,Consumer Discretionary,California
ECL,Ecolab Inc.,0,1923,1989,Materials,Minnesota
ED,Consolidated Edison,0,1823,,Utilities,New York
EFX,Equifax Inc.,0,1899,1997,Industrials,Georgia
EIX,Edison Int'l,0,1886,1957,Utilities,California
EL,Estée Lauder Companies,0,1946,2006,Consumer Staples,New York
EMN,Eastman Chemical,0,1920,1994,Materials,Other
EMR,Emerson Electric Company,1,1890,1965,Industrials,Other
EOG,EOG Resources,0,1999,2000,Energy,Texas
EQIX,Equinix,0,1998,2015,Real Estate,California
EQR,Equity Residential,0,1969,2001,Real Estate,Illinois
ES,Eversource Energy,0,1966,,Utilities,Massachusetts
ESS,"Essex Property Trust, Inc.",0,1971,2014,Real Estate,California
ETN,Eaton Corporation,0,1911,,Industrials,International
ETR,Entergy Corp.,0,1913,1957,Utilities,Other
ETSY,Etsy,0,2005,2020,Consumer Discretionary,New York
EVRG,Evergy,0,1909,2018,Utilities,Other
EW,Edwards Lifesciences,0,1958,2011,Health Care,California
EXC,Exelon Corp.,1,2000,1957,Utilities,Illinois
EXPD,Expeditors,0,1979,2007,Industrials,Washington
EXPE,Expedia Group,0,1996,2007,Consumer Discretionary,Washington
EXR,Extra Space Storage,0,1977,2016,Real Estate,Other
F,Ford Motor Company,1,1903,1957,Consumer Discretionary,Michigan
FANG,Diamondback Energy,0,2007,2018,Energy,Texas
FAST,Fastenal Co,0,1967,2008,Industrials,Minnesota
FB,"Facebook, Inc.",1,2004,2013,Communication Services,California
FBHS,Fortune Brands Home & Security,0,2011,2016,Industrials,Illinois
FCX,Freeport-McMoRan Inc.,0,1912,,Materials,Other
FDX,FedEx Corporation,1,1971,1980,Industrials,Other
FE,FirstEnergy Corp,0,1997,,Utilities,Ohio
FFIV,F5 Networks,0,1996,2010,Information Technology,Washington
FIS,Fidelity National Information Services,0,1968,2006,Information Technology,Florida
FISV,Fiserv Inc,0,1984,2001,Information Technology,Other
FITB,Fifth Third Bancorp,0,1858,,Financials,Ohio
FLIR,FLIR Systems,0,1978,2009,Information Technology,Other
FLS,Flowserve Corporation,0,1997,2008,Industrials,Texas
FLT,FleetCor Technologies Inc,0,2000,2018,Information Technology,Georgia
FMC,FMC Corporation,0,1883,2009,Materials,Pennsylvania
FOX,Fox Corporation (Class B),0,2019,2015,Communication Services,New York
FOXA,Fox Corporation (Class A),0,2019,2013,Communication Services,New York
FRC,First Republic Bank,0,1985,2019,Financials,California
FRT,Federal Realty Investment Trust,0,1962,2016,Real Estate,Maryland
FTI,TechnipFMC,0,2017,2009,Energy,International
FTNT,Fortinet,0,2000,2018,Information Technology,California
FTV,Fortive Corp,0,2016,2016,Industrials,Washington
GD,General Dynamics,1,1899,1957,Industrials,Virginia
GE,General Electric,1,1892,,Industrials,Massachusetts
GILD,Gilead Sciences,1,1987,2004,Health Care,California
GIS,General Mills,0,1856,1969,Consumer Staples,Minnesota
GL,Globe Life Inc.,0,1900,1989,Financials,Texas
GLW,Corning Inc.,0,1851,,Information Technology,New York
GM,General Motors,1,1908,2013,Consumer Discretionary,Michigan
GOOG,Alphabet Inc. (Class C),1,1998,2006,Communication Services,California
GOOGL,Alphabet Inc. (Class A),1,1998,2014,Communication Services,California
GPC,Genuine Parts,0,1925,1973,Consumer Discretionary,Georgia
GPN,Global Payments Inc.,0,2000,2016,Information Technology,Georgia
GPS,Gap Inc.,0,1969,1986,Consumer Discretionary,California
GRMN,Garmin Ltd.,0,1989,2012,Consumer Discretionary,International
GS,Goldman Sachs Group,1,1869,2002,Financials,New York
GWW,Grainger (W.W.) Inc.,0,1927,1981,Industrials,Illinois
HAL,Halliburton Co.,0,1919,1957,Energy,Texas
HAS,Hasbro Inc.,0,1923,1984,Consumer Discretionary,Other
HBAN,Huntington Bancshares,0,1866,,Financials,Ohio
HBI,Hanesbrands Inc,0,2000,2015,Consumer Discretionary,North Carolina
HCA,HCA Healthcare,0,1968,2015,Health Care,Other
HD,Home Depot,1,1978,1988,Consumer Discretionary,Georgia
HES,Hess Corporation,0,1919,1984,Energy,New York
HFC,HollyFrontier Corp,0,1947,2018,Energy,Texas
HIG,Hartford Financial Svc.Gp.,0,1810,1957,Financials,Connecticut
HII,Huntington Ingalls Industries,0,2011,2018,Industrials,Virginia
HLT,Hilton Worldwide Holdings Inc,0,1919,2017,Consumer Discretionary,Virginia
HOLX,Hologic,0,1985,2016,Health Care,Massachusetts
HON,Honeywell Int'l Inc.,1,1906,1964,Industrials,New Jersey
HPE,Hewlett Packard Enterprise,0,2015,2015,Information Technology,California
HPQ,HP Inc.,0,1939,1974,Information Technology,California
HRL,Hormel Foods Corp.,0,1891,2009,Consumer Staples,Minnesota
HSIC,Henry Schein,0,1932,2015,Health Care,New York
HST,Host Hotels & Resorts,0,1993,2007,Real Estate,Maryland
HSY,The Hershey Company,0,1894,1957,Consumer Staples,Pennsylvania
HUM,Humana Inc.,0,1961,,Health Care,Other
HWM,Howmet Aerospace,0,2016,1964,Industrials,Pennsylvania
IBM,International Business Machines,1,1911,1957,Information Technology,New York
ICE,Intercontinental Exchange,0,2000,2007,Financials,Georgia
IDXX,IDEXX Laboratories,0,1983,2017,Health Care,Other
IEX,IDEX Corporation,0,1988,2019,Industrials,Illinois
IFF,International Flavors & Fragrances,0,1958,1976,Materials,New York
ILMN,Illumina Inc,0,1998,2015,Health Care,California
INCY,Incyte,0,1991,2017,Health Care,Other
INFO,IHS Markit Ltd.,0,1959,2017,Industrials,International
INTC,Intel Corp.,1,1968,1976,Information Technology,California
INTU,Intuit Inc.,0,1983,2000,Information Technology,California
IP,International Paper,0,1898,1957,Materials,Other
IPG,Interpublic Group,0,1961,1992,Communication Services,New York
IPGP,IPG Photonics Corp.,0,1990,2018,Information Technology,Massachusetts
IQV,IQVIA Holdings Inc.,0,1982,2017,Health Care,North Carolina
IR,Ingersoll Rand,0,1859,2020,Industrials,Other
IRM,Iron Mountain Incorporated,0,1951,2009,Real Estate,Massachusetts
ISRG,Intuitive Surgical Inc.,0,1995,2008,Health Care,California
IT,Gartner Inc,0,1979,2017,Information Technology,Connecticut
ITW,Illinois Tool Works,0,1912,1986,Industrials,Illinois
IVZ,Invesco Ltd.,0,1935,2008,Financials,Georgia
J,Jacobs Engineering Group,0,1947,2007,Industrials,Texas
JBHT,J. B. Hunt Transport Services,0,1961,2015,Industrials,Other
JCI,Johnson Controls International,0,1885,2010,Industrials,International
JKHY,Jack Henry & Associates,0,1976,2018,Information Technology,Other
JNJ,Johnson & Johnson,1,1886,1973,Health Care,New Jersey
JNPR,Juniper Networks,0,1996,2006,Information Technology,California
JPM,JPMorgan Chase & Co.,1,2000,1975,Financials,New York
K,Kellogg Co.,0,1906,,Consumer Staples,Michigan
KEY,KeyCorp,0,1825,1994,Financials,Ohio
KEYS,Keysight Technologies,0,2014,2018,Information Technology,California
KHC,Kraft Heinz Co,1,2015,2015,Consumer Staples,Illinois
KIM,Kimco Realty,0,1958,2006,Real Estate,New York
KLAC,KLA Corporation,0,1975,,Information Technology,California
KMB,Kimberly-Clark,0,1872,1957,Consumer Staples,Texas
KMI,Kinder Morgan,1,1997,2012,Energy,Texas
KMX,Carmax Inc,0,1993,2010,Consumer Discretionary,Virginia
KO,Coca-Cola Company,1,1886,1957,Consumer Staples,Georgia
KR,Kroger Co.,0,1883,1957,Consumer Staples,Ohio
KSU,Kansas City Southern,0,1887,2013,Industrials,Other
L,Loews Corp.,0,1959,,Financials,New York
LB,L Brands Inc.,0,1963,1983,Consumer Discretionary,Ohio
LDOS,Leidos Holdings,0,1969,2019,Information Technology,Virginia
LEG,Leggett & Platt,0,1883,,Consumer Discretionary,Other
LEN,Lennar Corp.,0,1954,2005,Consumer Discretionary,Florida
LH,Laboratory Corp. of America Holding,0,1978,2004,Health Care,North Carolina
LHX,L3Harris Technologies,0,2019,,Industrials,Florida
LIN,Linde plc,0,1879,1992,Materials,International
LKQ,LKQ Corporation,0,1998,2016,Consumer Discretionary,Illinois
LLY,Lilly (Eli) & Co.,1,1876,1970,Health Care,Other
LMT,Lockheed Martin Corp.,1,1995,1984,Industrials,Maryland
LNC,Lincoln National,0,1905,1976,Financials,Pennsylvania
LNT,Alliant Energy Corp,0,1917,2016,Utilities,Other
LOW,Lowe's Cos.,1,1946,1984,Consumer Discretionary,North Carolina
LRCX,Lam Research,0,1980,2012,Information Technology,California
LUMN,Lumen Technologies,0,1983,1999,Communication Services,Other
LUV,Southwest Airlines,0,1967,1994,Industrials,Texas
LVS,Las Vegas Sands,0,1988,2019,Consumer Discretionary,Other
LW,Lamb Weston Holdings Inc,0,2016,2018,Consumer Staples,Other
LYB,LyondellBasell,0,2007,2012,Materials,Other
LYV,Live Nation Entertainment,0,2010,2019,Communication Services,California
MA,Mastercard Inc.,1,1966,2008,Information Technology,New York
MAA,Mid-America Apartments,0,1977,2016,Real Estate,Other
MAR,Marriott Int'l.,0,1927,,Consumer Discretionary,Maryland
MAS,Masco Corp.,0,1929,1981,Industrials,Michigan
MCD,McDonald's Corp.,1,1940,1970,Consumer Discretionary,Illinois
MCHP,Microchip Technology,0,1989,2007,Information Technology,Other
MCK,McKesson Corp.,0,1833,,Health Care,Texas
MCO,Moody's Corp,0,1909,,Financials,New York
MDLZ,Mondelez International,1,2012,2012,Consumer Staples,Illinois
MDT,Medtronic plc,1,1949,1986,Health Care,International
MET,MetLife Inc.,1,1868,,Financials,New York
MGM,MGM Resorts International,0,1986,2017,Consumer Discretionary,Other
MHK,Mohawk Industries,0,1878,2013,Consumer Discretionary,Georgia
MKC,McCormick & Co.,0,1889,,Consumer Staples,Maryland
MKTX,MarketAxess,0,2000,2019,Financials,New York
MLM,Martin Marietta Materials,0,1993,2014,Materials,North Carolina
MMC,Marsh & McLennan,0,1905,1987,Financials,New York
MMM,3M Company,1,1902,1976,Industrials,Minnesota
MNST,Monster Beverage,0,2012,2012,Consumer Staples,California
MO,Altria Group Inc,1,1985,1957,Consumer Staples,Virginia
MOS,The Mosaic Company,0,2004,2011,Materials,Florida
MPC,Marathon Petroleum,0,2009,2011,Energy,Ohio
MRK,Merck & Co.,1,1891,1957,Health Care,New Jersey
MRO,Marathon Oil Corp.,0,1887,1991,Energy,Texas
MS,Morgan Stanley,1,1935,,Financials,New York
MSCI,MSCI Inc,0,1969,2018,Financials,New York
MSFT,Microsoft Corp.,1,1975,1994,Information Technology,Washington
MSI,Motorola Solutions Inc.,0,1928,,Information Technology,Illinois
MTB,M&T Bank Corp.,0,1856,2004,Financials,New York
MTD,Mettler Toledo,0,1945,2016,Health Care,Ohio
MU,Micron Technology,0,1978,1994,Information Technology,Other
MXIM,Maxim Integrated Products Inc,0,1983,2018,Information Technology,California
NCLH,Norwegian Cruise Line Holdings,0,2011,2017,Consumer Discretionary,Florida
NDAQ,"Nasdaq, Inc.",0,1971,2008,Financials,New York
NEE,NextEra Energy,1,1984,1976,Utilities,Florida
NEM,Newmont Corporation,0,1921,1969,Materials,Other
NFLX,Netflix Inc.,1,1997,2010,Communication Services,California
NI,NiSource Inc.,0,1912,,Utilities,Other
NKE,"Nike, Inc.",1,1964,1988,Consumer Discretionary,Other
NLOK,NortonLifeLock,0,1982,2003,Information Technology,Other
NLSN,Nielsen Holdings,0,1923,2013,Industrials,New York
NOC,Northrop Grumman,0,1994,1985,Industrials,Virginia
NOV,National Oilwell Varco Inc.,0,1841,2005,Energy,Texas
NOW,ServiceNow,0,2003,2019,Information Technology,California
NRG,NRG Energy,0,1992,2010,Utilities,New Jersey
NSC,Norfolk Southern Corp.,0,1894,1957,Industrials,Virginia
NTAP,NetApp,0,1992,1999,Information Technology,California
NTRS,Northern Trust Corp.,0,1889,,Financials,Illinois
NUE,Nucor Corp.,0,1940,1985,Materials,North Carolina
NVDA,Nvidia Corporation,1,1993,2001,Information Technology,California
NVR,"NVR, Inc.",0,1980,2019,Consumer Discretionary,Virginia
NWL,Newell Brands,0,1903,1989,Consumer Discretionary,Georgia
NWS,News Corp. Class B,0,2013,2015,Communication Services,New York
NWSA,News Corp. Class A,0,2013,2013,Communication Services,New York
O,Realty Income Corporation,0,1969,2015,Real Estate,California
ODFL,Old Dominion Freight Line,0,1934,2019,Industrials,North Carolina
OKE,ONEOK,0,1906,2010,Energy,Other
OMC,Omnicom Group,0,1986,,Communication Services,New York
ORCL,Oracle Corp.,1,1977,1989,Information Technology,California
ORLY,O'Reilly Automotive,0,1957,2009,Consumer Discretionary,Other
OTIS,Otis Worldwide,0,2020,2020,Industrials,Connecticut
OXY,Occidental Petroleum,0,1920,1982,Energy,Texas
PAYC,Paycom,0,1998,2020,Information Technology,Other
PAYX,Paychex Inc.,0,1971,,Information Technology,New York
PBCT,People's United Financial,0,1842,2008,Financials,Connecticut
PCAR,PACCAR Inc.,0,1905,1980,Industrials,Washington
PEAK,Healthpeak Properties,0,1985,2008,Real Estate,California
PEG,Public Service Enterprise Group (PSEG),0,1903,1957,Utilities,New Jersey
PEP,PepsiCo Inc.,1,1898,1957,Consumer Staples,New York
PFE,Pfizer Inc.,1,1849,1957,Health Care,New York
PFG,Principal Financial Group,0,1879,2002,Financials,Other
PG,Procter & Gamble,1,1837,1957,Consumer Staples,Ohio
PGR,Progressive Corp.,0,1937,1997,Financials,Ohio
PH,Parker-Hannifin,0,1917,1985,Industrials,Ohio
PHM,PulteGroup,0,1956,1984,Consumer Discretionary,Georgia
PKG,Packaging Corporation of America,0,1959,2017,Materials,Illinois
PKI,PerkinElmer,0,1937,1985,Health Care,Massachusetts
PLD,Prologis,0,1983,2003,Real Estate,California
PM,Philip Morris International,1,2008,2008,Consumer Staples,New York
PNC,PNC Financial Services,0,1845,1988,Financials,Pennsylvania
PNR,Pentair plc,0,1966,2012,Industrials,International
PNW,Pinnacle West Capital,0,1985,,Utilities,Other
POOL,Pool Corporation,0,1993,2020,Consumer Discretionary,Other
PPG,PPG Industries,0,1883,1957,Materials,Pennsylvania
PPL,PPL Corp.,0,1920,,Utilities,Pennsylvania
PRGO,Perrigo,0,2013,2011,Health Care,International
PRU,Prudential Financial,0,1875,2002,Financials,New Jersey
PSA,Public Storage,0,1972,2005,Real Estate,California
PSX,Phillips 66,0,2012,2012,Energy,Texas
PVH,PVH Corp.,0,1881,2013,Consumer Discretionary,New York
PWR,Quanta Services Inc.,0,1997,2009,Industrials,Texas
PXD,Pioneer Natural Resources,0,1997,2008,Energy,Texas
PYPL,PayPal,1,1998,2015,Information Technology,California
QCOM,QUALCOMM Inc.,1,1985,,Information Technology,California
QRVO,Qorvo,0,2015,2015,Information Technology,North Carolina
RCL,Royal Caribbean Group,0,1997,2014,Consumer Discretionary,Florida
RE,Everest Re Group Ltd.,0,1973,2017,Financials,Other
REG,Regency Centers Corporation,0,1963,2017,Real Estate,Florida
REGN,Regeneron Pharmaceuticals,0,1988,2013,Health Care,New York
RF,Regions Financial Corp.,0,1971,1998,Financials,Other
RHI,Robert Half International,0,1948,2000,Industrials,California
RJF,Raymond James Financial Inc.,0,1962,2017,Financials,Florida
RL,Ralph Lauren Corporation,0,1967,2007,Consumer Discretionary,New York
RMD,ResMed,0,1989,2017,Health Care,California
ROK,Rockwell Automation Inc.,0,1903,,Industrials,Other
ROL,Rollins Inc.,0,1948,2018,Industrials,Georgia
ROP,Roper Technologies,0,1981,2009,Industrials,Florida
ROST,Ross Stores,0,1982,2009,Consumer Discretionary,California
RSG,Republic Services Inc,0,1998,2008,Industrials,Other
RTX,Raytheon Technologies,1,1922,,Industrials,Massachusetts
SBAC,SBA Communications,0,1989,2017,Real Estate,Florida
SBUX,Starbucks Corp.,1,1971,,Consumer Discretionary,Washington
SCHW,Charles Schwab Corporation,0,1971,1997,Financials,California
SEE,Sealed Air,0,1960,1957,Materials,North Carolina
SHW,Sherwin-Williams,0,1866,1964,Materials,Ohio
SIVB,SVB Financial,0,1983,2018,Financials,California
SJM,JM Smucker,0,1897,2008,Consumer Staples,Ohio
SLB,Schlumberger Ltd.,1,1926,1965,Energy,Other
SLG,SL Green Realty,0,1997,2015,Real Estate,New York
SNA,Snap-on,0,1920,1982,Industrials,Other
SNPS,Synopsys Inc.,0,1986,2017,Information Technology,California
SO,Southern Company,1,1945,1957,Utilities,Georgia
SPG,Simon Property Group Inc,1,2003,2002,Real Estate,Other
SPGI,"S&P Global, Inc.",0,1917,,Financials,New York
SRE,Sempra Energy,0,1998,,Utilities,California
STE,STERIS plc,0,1985,2019,Health Care,International
STT,State Street Corp.,0,1792,,Financials,Massachusetts
STX,Seagate Technology,0,1979,2012,Information Technology,International
STZ,Constellation Brands,0,1945,2005,Consumer Staples,New York
SWK,Stanley Black & Decker,0,1843,1982,Industrials,Connecticut
SWKS,Skyworks Solutions,0,2002,2015,Information Technology,Massachusetts
SYF,Synchrony Financial,0,2003,2015,Financials,Connecticut
SYK,Stryker Corp.,0,1941,2000,Health Care,Michigan
SYY,Sysco Corp.,0,1969,1986,Consumer Staples,Texas
T,AT&T Inc.,1,1983,1983,Communication Services,Texas
TAP,Molson Coors Beverage Company,0,2005,1976,Consumer Staples,Other
TDG,TransDigm Group,0,1993,2016,Industrials,Ohio
TDY,Teledyne Technologies,0,1960,2020,Industrials,California
TEL,TE Connectivity Ltd.,0,2007,2011,Information Technology,International
TER,Teradyne,0,1960,2020,Information Technology,Massachusetts
TFC,Truist Financial,0,1872,1997,Financials,North Carolina
TFX,Teleflex,0,1943,2019,Health Care,Pennsylvania
TGT,Target Corp.,1,1902,1976,Consumer Discretionary,Minnesota
TIF,Tiffany & Co.,0,1837,2000,Consumer Discretionary,New York
TJX,TJX Companies Inc.,0,1987,1985,Consumer Discretionary,Massachusetts
TMO,Thermo Fisher Scientific,1,2006,,Health Care,Massachusetts
TMUS,T-Mobile US,0,1994,2019,Communication Services,Washington
TPR,"Tapestry, Inc.",0,2017,,Consumer Discretionary,New York
TROW,T. Rowe Price Group,0,1937,,Financials,Maryland
TRV,The Travelers Companies Inc.,0,1853,2002,Financials,New York
TSCO,Tractor Supply Company,0,1938,2014,Consumer Discretionary,Other
TSLA,"Tesla, Inc.",1,2003,2020,Consumer Discretionary,California
TSN,Tyson Foods,0,1935,,Consumer Staples,Other
TT,Trane Technologies plc,0,1871,2010,Industrials,International
TTWO,Take-Two Interactive,0,1993,2018,Communication Services,New York
TWTR,"Twitter, Inc.",0,2006,2018,Communication Services,California
