PERSON,GENDER,AGE,MONTHS_AS_MEMBER,INCOME,FREQUENCY,RECENCY,SPEND
d058f73bf8674a26a95227db098147b1,F,56,4,88000,2,10,27.855
65aba5c617294649aeb624da249e1ee5,Unspecified,118,17,0,11,25,2.833636364
c6c9884912c645429f3333f912b55f44,F,33,11,52000,7,19,1.387142857
7429a044884842d6862f516c38b1156f,F,46,11,59000,0,0,0
ebe7ef46ea6f4963a7dd49f501b26779,M,59,43,41000,7,20,7.344285714
5917d13f6fa04286abdf95f4d5cefb1e,M,67,49,96000,7,27,26.02285714
d1ede868e29245ea91818a903fec04c6,Unspecified,53,11,52000,3,15,5.673333333
1e9420836d554513ab90eba98552d0a9,M,22,11,70000,5,17,17.854
868317b9be554cb18e50bc68484749a2,F,96,9,89000,3,20,23.29666667
f082d80f0aac47a99173ba8ef8fc1909,M,40,26,33000,9,25,3.254444444
102e9454054946fda62242d2e176fdce,F,69,24,57000,11,29,17.60090909
4beeb3ed64dd4898b0edf2f6b67426d3,Unspecified,118,26,0,5,23,2.596
8dabe2142cdf4013a6f4786edf8ab00f,M,56,52,68000,6,18,24.90666667
9f30b375d7bd4c62a884ffe7034e09ee,F,26,12,63000,13,22,5.493846154
25c906289d154b66bf579693f89481c9,Unspecified,118,7,0,3,10,3.47
6e014185620b49bd98749f728747572f,M,75,34,40000,9,24,16.85666667
02c083884c7d45b39cc68e1314fec56c,F,20,26,30000,5,18,5.524
c0d210398dee4a0895b24444a5fcd1d2,M,45,1,33000,7,24,7.891428571
8b70ca1f5f5a45bdac2ac2f990b71526,M,61,9,98000,6,17,34.165
5b8f1f0e0930464f93bb55e59b5a04e0,Unspecified,118,46,0,4,13,1.0825
8be4463721e14d7fa600686bf8c8b2ed,Unspecified,118,15,0,13,27,3.854615385
8e7c7465e98c43d8a01f51e2b5c29542,F,69,60,37000,9,25,3.544444444
57dd18ec5ddc46828afb81ec5977bef2,F,54,19,80000,8,19,27.4425
be8a5d1981a2458d90b255ddc7e0d174,M,39,51,51000,11,23,4.48
3f89b8f80ebc4f94b7074f28071aa8d4,F,41,35,41000,14,25,4.135714286
a3b9b4bf115e4564933ea2e4bc936843,F,79,41,48000,10,22,14.974
7584948ea6d04f94b8798624706261c2,F,66,4,38000,4,20,9.7725
e9844d5beac04bf8b8d3ad18f7e37fca,F,56,14,52000,6,24,13.23833333
f247806381704ea58c1b06f60602a6ae,F,39,50,56000,11,22,13.44454545
81ac76e4f2fe4a6bb5ebdc0f19cecc56,Unspecified,118,15,0,5,25,3.894
9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,M,42,31,96000,9,23,31.76888889
020d3a52b9ce432ea5f98fc58e9bfcc4,Unspecified,118,10,0,5,20,2.356
4be1127413db496d8103c783ae72058b,Unspecified,118,32,0,7,20,2.741428571
fe8264108d5b4f198453bbb1fa7ca6c9,F,78,23,93000,6,20,31.315
186d6403f5824c739555b732f4af3f16,M,45,11,48000,5,21,2.898
8a87fda1a6644337b4394a4c3cd0946c,M,29,28,50000,9,29,4.034444444
b7a66e629b134079a9bc7120c7b9947b,M,44,11,35000,12,26,11.79416667
ca82e1ebc759402c8ab95c341755bdf1,M,63,1,56000,8,26,13.6525
54890f68699049c2a04d415abc25e717,M,36,8,56000,6,29,17.60333333
ab66a363907e43e9a7cd535f1578245b,F,76,5,47000,5,22,4.436
d3f146b615514c6380b168bb3df5f05b,M,68,12,87000,5,24,26.04
a5a6ef2b78a04ddc9f374dd7c7f60bff,M,75,33,52000,9,24,13.53888889
2e87ba0fba1a4d1a8614af771f07a94d,M,67,18,76000,10,27,18.575
d8af520c4a8a4c77b921098d7d838c4d,M,77,25,51000,8,27,2.5225
39dbcf43e24d41f4bbf0f134157e0e1e,M,76,48,64000,6,24,17.22166667
b62e66ca4dcf4df39fd522e750a88d81,M,57,6,98000,0,0,0
8c7df0c393db488aac3e58b06a7ea5f9,F,53,26,72000,6,26,23.55166667
3a1242dda16248728e350c4bdeb21972,F,53,20,117000,6,23,44.54833333
8045834137dc47faa24f2c4547969f33,F,53,10,55000,7,27,2.682857143
fb98ebe9e3e14afaa5b5db182b00b7ec,F,61,9,112000,1,6,33.87
5cd6577aca5d4b419e452f9f505ffce7,F,67,24,77000,6,23,23.745
99e9a1916821461ebd5d5048dc2dff7d,F,58,7,85000,13,28,21.02923077
e528ceb341964128aaf58a59733ec2af,F,46,2,36000,4,18,2.755
faf74115a43b4f718f4d4c0de116ee8a,M,30,9,41000,3,19,3.393333333
0b73997a269247088b2a63355f53ee58,M,59,12,89000,1,12,22.44
9d8d6bb2fc544a9c802888971ee3e8b1,Unspecified,118,11,0,5,24,3.628
f44b44b53c0548d5b27c812fda4c358a,M,51,32,41000,15,26,4.803333333
6e04a90a0e074496b5f229eb1f553433,M,27,7,35000,8,28,3.0225
262ad0fb526a4d53b572007da60cce24,M,40,6,53000,4,17,1.815
a89752cdfdf24779aa22faa2bc24e7c2,Unspecified,118,35,0,10,25,2.645
a2b7a0b3487a4d779ddf4e11a034e2ee,F,73,4,91000,3,13,28.32333333
2c5c63e5124e417b8504f76c868a4190,F,74,32,107000,7,21,38.93714286
9d6da0a2ac54474e8ec986fd21cecef0,M,42,33,66000,5,22,24.562
571b739ada3041fb8fbd20f23ce034f7,M,78,34,58000,7,24,16.27857143
816afd4505d047cf893275fbfe825590,F,54,20,53000,13,28,4.259230769
13b7b2eccf664a329d83d2a238a9a11d,F,70,2,74000,0,0,0
68eee228713c429ebe1300155ad1fb33,F,49,17,57000,9,20,18.31333333
ffc6c9fbe34b4578911dcdf6745b4c74,F,62,4,57000,0,0,0
cbebad9819494b479dbf0c1207b4c0c5,M,64,18,70000,5,17,23.992
4264b1d027cc493281bba4f44bfedaca,F,89,9,87000,8,15,29.22625
0ba6e2ad781c4429afd26cf0b35f2d11,M,73,5,51000,7,28,2.582857143
53bac762af27471eb294ff89ca1bae2c,Unspecified,118,25,0,5,23,1.79
b5abc1e85be84f43937b4fca0ad238cb,F,50,16,93000,9,21,30.94222222
1c587de019994f93a242c6864fd7bc55,F,90,33,98000,2,15,32.44
3f4e408b0b2d4ea89dd16d7437d867c1,F,68,25,84000,1,12,16.82
13bda8fbd70a4814b956df1d55320398,M,60,19,64000,9,20,4.037777778
b19c8e7ac2ff40ae92b4fcf3247f8912,M,45,12,54000,5,22,2.11
21c73d53e2a74bb1b4dc172bff2b1aad,M,66,31,49000,11,24,15.94272727
488773cae11f4b71875bfccd4e3e99f2,Unspecified,118,18,0,9,28,2.19
182e68952b474700b171e21b85c258ac,Unspecified,118,12,0,1,18,0.05
1abeb816d9fa49b4b5b5ae51bc3d24c3,F,19,22,73000,10,19,18.026
92e07c49ee7448fca6e48df0c96e3eec,F,66,6,58000,8,24,15.42875
f8aedd0cbea0419c806842b4265b82e5,F,72,25,72000,10,29,18.756
5e9c83e8ab4d4e9ca83f3256d83ca756,Unspecified,118,31,0,8,12,2.9225
a9780228a1d04539afdee8b745e4be10,M,76,29,63000,12,28,17.47833333
94f14dcfedba47e18b7efca13dd7574b,M,52,15,78000,5,25,21.138
8a4bc602e4424ab6b16f0b907f2f22af,M,55,8,31000,4,19,6.125
6d28f18e91324d358d69d1e4b01f1ace,F,39,11,60000,9,26,75.79111111
52f0bd64403f4958ab8fe9a6947c13c3,F,45,31,44000,9,19,16.94
93e67942586e43fb87d5ffb1ead8db41,F,57,14,114000,6,24,26.645
e641af076cc54529bec6ab61fc25f4a6,M,74,1,48000,2,9,1.735
716a961d2afb4c1d8307522a8cbb4f07,M,18,25,47000,16,27,15.37375
13033baa9d294c3c9165a00d71b72614,M,53,11,96000,4,20,26.3025
15953663abf54181adf1fd4c39442b85,F,59,11,98000,3,22,24.01666667
0ac5ffb0f1624297a453494b845e1a91,M,57,46,46000,7,24,4.771428571
1a353048b0884fc5a0afa27677ef1e80,F,51,12,56000,5,21,5.728
c099206f76b1414db7552f163520053c,Unspecified,118,37,0,7,24,3.111428571
e6d3eebb535e44aca1323edde5c346fa,Unspecified,118,9,0,9,25,1.312222222
2cf5895bddf9467e878c6d51a622d5fb,F,64,10,37000,4,23,8.4075
6747dda08bed46298c23e05b64820a3a,M,71,19,57000,10,28,2.282
f35b342b24734da18a830bb9329a4fbd,F,64,16,66000,2,12,15.225
4c29d22467af4d7faa137c4eedd65340,M,83,7,46000,3,16,3.896666667
e997a086fc13446da2aa9070d98d191a,M,26,8,71000,3,18,4.26
baba98dba43e42ae8e86cbd70725e201,Unspecified,118,28,0,12,28,1.0825
17af917bb842480e925e49a8ca08c1f8,F,29,5,58000,7,24,3.588571429
bf8d7498eb32431ab3fedaa14b7d3a0d,M,43,11,70000,0,0,0
3dae0eadb47149b0b9b548d14548524b,F,89,7,65000,6,20,19.63166667
5404741ead9442bdbd4b9aa2273e85af,F,49,3,79000,1,23,12.27
81e9ad5fa55a4884b65e01a5db8f1b4e,M,79,26,67000,12,26,24.19666667
b2f1cd155b864803ad8334cdf13c4bd2,F,55,10,94000,7,24,25.12
37a97f6e09784a07bbb67bc6539f1a00,M,55,9,66000,15,30,16.532
77927096ab4144fa930b4cadd4773cc2,M,45,10,31000,4,14,3.1625
acbc358a8bf44ba88d0de1f2bec5b2ab,M,52,7,30000,4,23,1.9575
8ca29d07b300474786a6016fe76174dd,M,39,29,55000,7,19,19.87285714
88baa20c29a94178a43a7d68e5f039d4,M,77,2,69000,2,13,17.26
a2bd377c7ab74d93bbfd87f70043a9f8,M,66,1,60000,5,19,5.91
23f9e3baf42b43148fee9bbbc3530c7a,F,69,11,87000,1,7,19.1
8486e692a5f94d179d507eaca848ecbd,M,74,49,53000,3,18,13.46333333
58748c1cf9f746838c6ec62acdff28ad,Unspecified,118,22,0,5,18,1.78
49f22e86d2db41878778d70958dc744e,F,75,1,87000,3,16,20.80666667
28de174a5c854dd1be3187dc6edae45b,F,59,36,85000,5,18,28.654
a1eb338ccbca4cc88c9366939f16d819,M,47,56,66000,3,22,17.76
220a39cdfd6b41268c43a2e588fcb7e0,M,20,3,69000,0,0,0
0c89378f14804b42b6e63e4dc26e8d3e,M,60,16,108000,3,15,36.27333333
464d2302b99b46ad8eb3e42e1b849c24,M,65,5,61000,5,21,4.526
3f36bc1d5fc0499b9f96f62348f0f9b0,M,33,40,43000,6,19,3.215
fe97aa22dd3e48c8b143116a8403dd52,F,39,8,67000,9,30,60.42222222
dbca75f289544e09836322ba2e104854,M,49,3,59000,5,25,4.64
c863af14b3654499b1caea5e640136d2,M,68,6,58000,1,20,8.8
d7dc31e069124ef49e1bb937cb89f41c,M,42,18,80000,2,17,20.22
1827da57bb924833a6f73c79b5f2bbc5,M,72,3,33000,4,24,1.4575
721eb06ac285463aa6e1184e0ea9b7f0,F,18,15,49000,8,21,3.1875
d594b1f288674594a02c8527e5837ade,F,32,2,42000,6,22,11.48166667
0f54094029ca4107bfd36203aeb3ed14,M,67,12,50000,2,11,9.665
5f18c5754dc04baaa1267c823f877a85,M,52,1,42000,2,11,2.085
d8567f1400d8486cb31c6abba64389ec,M,38,10,64000,7,24,19.10428571
30fae86966114f6e83c3043b22b6b7c4,F,60,5,77000,4,20,18.66
fd700397b7c8440baa70d5539926c5a0,F,62,8,77000,1,6,12.7
4293153650e04742b310ac06cd3810e9,F,55,1,51000,1,14,12.02
2ce2e03319c7446ca9c379b4589da19b,M,22,4,63000,5,21,2.938
4d15a2a5ac134c58971b910b859bec24,M,34,8,41000,7,22,16.07142857
127cd9d95e6247e5b92bff64d6205a94,M,46,45,60000,18,29,5.592777778
4e233f02eff840c7a3e5ec15d55d7d23,M,85,1,67000,4,10,5.235
3ecb372184104ff7bad0f0f60cb56e29,F,51,17,85000,7,26,22.22714286
770df32893694100afc703ea9c9df401,Unspecified,118,36,0,5,22,4.77
8a37057f57c4495fb98dfcc8b909b09f,F,53,28,85000,7,27,23.30714286
11da2f066d3943699d10b61fd276fd1a,M,51,25,92000,10,26,32.104
50b92ea51e2649dfbf7120d5e554e991,Unspecified,118,7,0,0,0,0
21b02228cd4441b49bf0b5ff046f4b75,M,48,39,44000,13,23,4.404615385
629fc02d56414d91bca360decdfa9288,M,52,2,72000,2,28,16.075
41f9e7e0d8c644bb8b3f9c3a8699dc53,Unspecified,118,15,0,5,17,1.808
c87b50fcdd4a4d2faacff6112243a8dd,M,62,30,53000,7,28,16.58857143
91dc71c4e9bd45b0861825c32f5ee8f9,M,42,5,62000,3,27,3.373333333
3bd5ba038a5c46cc94e8cd5e5739c967,M,55,10,65000,5,14,2.998
92214286965d4eb1ad14dc8b0b04a20f,F,27,36,50000,6,20,12.44166667
37155a5f4ff248529399c95472186879,M,68,3,107000,6,21,38.57666667
c84fe4915ef74c7f9e81b003d3ecf54c,F,74,8,83000,0,0,0
041fd7c6b796430a867c4e03d2ff8f4d,M,77,47,66000,17,22,5.091764706
9e91e04b9a344f4e948728bf127967b6,M,35,7,72000,9,16,23.92444444
348bdc19d65f49b8b98f72c59e64cd89,F,50,9,69000,8,25,21.645
c74beaa959a742309ba8350b7d472676,M,45,34,94000,5,16,26.692
c79da41557894c7eacc5c0156dc1f4dc,M,82,20,87000,6,17,24.29166667
8cc1a1bd309842bfaafd4483d994579b,M,40,57,57000,3,23,21.98
83e2ccc1d4374c14865e8e2cf16007dd,M,66,2,34000,3,20,2.736666667
17c803219d1348d4a016691c947de0ed,M,52,4,63000,1,10,3.17
791ffe6d3dc848d2b233129a8096f7ab,F,57,29,89000,7,19,24.78428571
2204f8ff966f48db90246bd7b5918a7f,M,68,26,69000,8,27,16.195
0b9cac742f534951b5af48395dfe6879,M,21,6,52000,4,28,2.7
b818e955451b47db9fc8767fa45e464e,M,61,12,44000,7,14,1.814285714
1d25a96a0ba44f4eb28f587adf3ba9dd,Unspecified,118,28,0,5,24,2.938
a9ecb39d93d74696a9d6ddd5355329ff,F,58,5,54000,4,16,4.8975
0d18c37c8b58459f8aa6af2f7b541357,F,67,2,54000,6,28,2.796666667
d250372c924747d8ac9a8fa88f584bc3,M,24,18,61000,7,27,20.27285714
569866874d614a6a9c30d9f1e3a23b8d,Unspecified,118,43,0,4,21,1.685
3cea9c09fefb4c33ae2f0aa604af7eb4,M,26,9,35000,3,21,2.593333333
87efa556dd48400cb4231a273e088bcf,F,71,8,105000,8,27,24.33125
4e4c47b460b1414c8ddd459b61f84b9e,F,69,8,64000,7,25,19.33
accec36a10704e1fbaeb9b28b8bc5da8,M,81,4,93000,0,0,0
d1a6fe4c241e4dbf8a4da6fd6c714ac5,M,62,29,73000,8,27,25.85
1eed89c11cc749a4bb93d8cef032821d,M,38,13,74000,7,24,109.4157143
3f279ee9fd0d4195b0b9574ce0ae6923,M,61,11,82000,1,7,37.53
2d40e25b82b94b37bbad2332e90a1034,F,52,12,92000,0,0,0
9df2790f060d430e94f17189042e5671,M,50,8,70000,9,25,22.19333333
ae47fbe72b274838a2093c3e91bc03dc,M,54,18,118000,4,17,30.61
018b8f83176d471db63d9733c741fc8a,F,75,4,109000,1,13,18.47
d2e88e95c0ae41c0980e4cfc10d162d8,M,82,5,73000,7,27,4.602857143
aa4a681ea192401ab469b616f8fe6885,M,64,1,38000,4,24,1.82
ae40f2f496e84ed29e7638b0bccee9a4,F,54,35,99000,5,24,28.364
e94a9c2e750645d0a1aca57a9b4ca4c3,Unspecified,118,1,0,2,20,1.205
5a3d291f75984396b6eb2800206ec716,M,82,7,72000,2,8,6.575
82d8f33acf684ed6b16260d1dc1b30d5,Unspecified,118,34,0,4,26,30.125
bf2c086d4c4049289df1e0c8ea08f55c,M,90,3,45000,4,22,1.4275
5b9c1a35c0144b6ab584e666dec7c531,F,34,4,67000,6,13,2.915
ad3c443c9ce34aa38929b0a84cb14c04,M,44,1,53000,5,17,11.954
688e4f2487d44ad8bbcc0f96936f42d6,F,79,1,106000,0,0,0
73c157a4b8e342fcb5d8479d8cb41e81,F,58,20,95000,9,26,30.93888889
82d57bf7f37a4b37aff9e7bd293be8bc,Unspecified,118,5,0,1,5,2.21
e737ff591120415581ddbe817b8c82ca,F,47,32,74000,11,27,21.03818182
9cb34ff9de694c578154da3efc9915db,F,60,9,59000,6,25,3.811666667
32189735a963491082e35dd4c3221690,M,83,13,54000,9,27,15.95222222
4e5923e5deab4d5cb1624a0b1cc9909c,F,74,3,103000,0,0,0
2c5c71b7bfaa4e3e8088fc177e6e559b,M,89,36,101000,3,23,40.42666667
307245a5204947e5a9f952daffcad5f2,M,68,30,62000,7,20,17.37714286
eb834c09384149e88983526893d4d0cb,F,63,9,110000,4,12,20.4725
f93884685d214230bbc7c5f46aef121f,F,40,1,51000,4,23,15.0375
341276cb09ac42ad8473be091b52b082,F,79,8,99000,6,21,22.06166667
18174519037241e9b1ddcb627ca4dc41,M,71,5,30000,3,20,2.433333333
978d48db5c714a4490d904412f85b502,F,76,36,114000,4,22,31.405
2f442d5255324bbd9438b8a213544532,M,89,27,96000,5,20,21.416
044f41cfd98940119477d73c81f973a3,M,63,13,36000,5,18,1.918
be76cd174fa445238be5e3bb58a211b8,Unspecified,118,4,0,1,17,0.07
031387fa9cfd47e88f4e4b4b4cb71925,M,41,11,83000,0,0,0
8c410d84af08408fb41f953c93ffac27,F,71,4,56000,7,23,21.74714286
09e7e40eb89943458f4f79fe2e023dd6,M,44,10,36000,5,14,2.838
97b2476046874de3975e8feee95a1f98,M,25,29,73000,7,28,9.588571429
0ad8a9771c59432f9641e48212b2ccb9,M,27,5,70000,4,25,3.2025
2a01c11fdcc441bcbdc842c35adccb2f,M,67,6,106000,5,25,27.71
78e9be059fce46a1b610f74e0e812a4a,F,77,30,80000,8,25,25.43625
ad4fd34e9f7e4fd9ae627edd73ca2081,F,68,32,66000,8,25,17.15125
0e4e14ea66044a9eaee0b5efbff6ca62,M,37,28,64000,13,24,19.11692308
ace4a7611da040748d1722cda25b6280,M,55,29,60000,5,24,2.026
c894971c9e414a358b84255199727636,M,30,24,54000,15,26,46.23333333
e277228d77a64ab896d6dd6d88f970d3,M,51,37,54000,13,21,18.57923077
f20277feaaca40b1ae9295a1d897fcb8,F,47,1,92000,1,4,33.72
6f04a68e93df44d1b2329a399016452b,M,49,6,48000,6,25,3.123333333
27aa749a6f5f448e91327028a2ac7fb5,M,32,35,38000,13,26,12.25846154
ba9fb3e4a7084361914c1647d871d27e,M,30,16,69000,7,24,19.82714286
00c6035df45840038a72766c6d27a0db,M,47,18,86000,10,26,22.775
bbeb54e861614fc7b22a8844f72dca6c,Unspecified,118,8,0,13,28,7.031538462
fffad4f4828548d1b5583907f2e9906b,M,34,19,34000,11,26,7.441818182
a1ad0bbe76f8403786baa50ff845bc42,F,78,15,101000,4,23,36.025
50fb5c0c6b1b4f43bd5f4a818dddb513,F,85,30,71000,11,25,23.26545455
a97e6f33219c432db82acfa0d19c602d,F,75,61,69000,6,25,17.21166667
c6a2cd4fdc104ea5896ac60300f6842d,F,76,17,71000,11,22,19.16818182
4c0b938c4e994b168f0062d7dbb79796,F,89,37,59000,3,15,11.69666667
4de38d89a91c4286a583085d909817f9,M,58,7,70000,5,24,4.782
5ad59daa0d6b41f0a0c115443c1d8828,M,23,10,49000,14,27,5.075
2b91e3c00a424185ab261b2a204c9718,M,58,11,53000,9,28,12.35555556
5ceb90c4e738427f90cd7b16d51c59bc,Unspecified,118,8,0,0,0,0
23bc15e276d247669fd7d1c08a8fb678,F,64,35,95000,5,21,32.134
da6c95e567f94dfdb54c16073807fcfe,M,72,11,39000,9,24,10.16777778
fae3fbe975cc4421b853947d7448904e,F,66,12,72000,5,20,19.96
7798d98a070845328d838312b65ba846,F,49,12,68000,5,24,2.712
b21beefac7b6488f8384774c4d90faca,M,43,16,71000,9,27,20.15222222
932715eb8a33450c83c1557c99968c7b,M,58,1,39000,4,12,1.18
cac7e2d5e1f444debdbebcb02a9d6d3d,M,43,13,76000,7,22,17.15
203831402e2b49a8bf1fa35263f17165,F,56,17,87000,9,29,23.22888889
816f33d96b624c84a890f87694ac4172,F,69,10,118000,1,1,30.76
d0be9ff460964c3398a33ad9b2829f3a,Unspecified,60,6,94000,4,29,207.47
327d08559d564f13b6aaf681700c2e6e,M,81,27,70000,6,17,22.05166667
c610bd00615c41079c7a1a33f76d9228,M,42,17,91000,5,28,24.44
716cff13fcd44dc2a96c138950dc48bd,M,75,44,71000,12,23,4.095
c05652fa9d2c4fac9a010ea5a9310c86,M,62,7,73000,5,25,3.952
fbc039723b044dfd8a1723a976d667d9,F,55,28,54000,11,25,18.71363636
e1103f6b4c444f84b65f856738c0f60c,M,65,10,39000,7,20,10.29142857
b6905df3630b4137b077b6e1b4b21d75,M,52,18,46000,8,26,17.6925
2c3a4de659584bed8d27cfd865f06928,F,30,10,40000,6,27,17.5
28416e7d96d746fb9c1fb8223d9e4914,F,74,35,75000,4,24,18.5125
24c1287eb7a84cfd80472a82e05b1d57,F,100,36,63000,9,28,22.36222222
a4579681ffca49cfbff6f5453a49bf76,F,26,17,40000,9,22,65.51
8a04ab4063e94628b5bbd86781639430,F,56,29,53000,6,19,12.45166667
393e6938e7eb46cb86bcb04f231efc0f,M,50,47,90000,2,13,27.785
62fb072537a647a89f99fb9ea66a7c00,M,73,10,95000,2,16,26.83
0acaa564f18b418ba642e2a4ff3e028d,F,49,8,74000,3,12,22.64666667
585fb2dc600d4a0f912d8911aba11203,M,37,32,50000,8,20,14.67625
9b0e7b326e314b758369c2f794566eb3,M,65,31,57000,15,25,19
aec532a91d9948cb828cc657fa27fce2,F,64,30,81000,6,21,25.45333333
9c64321646bf40f6ad1bc98864eaa6b8,F,48,22,53000,3,21,11.94333333
4e6eb10de9744995be7496f5b1cc7bcf,M,20,37,32000,9,27,9.364444444
a02783021b7c49eba12cb58cc73a4c44,Unspecified,118,6,0,0,0,0
e89dce9d75634dc5bf1df0a0cea0f316,M,46,1,40000,8,24,13.8975
e08a264dc9a54efca07e1cf7e9b38480,M,24,40,69000,10,24,6.36
a4ac99af1b7f4344b734ac07592ab717,M,71,36,95000,11,29,29.30363636
f8362fcaa42248fca2a2a174951a954a,F,50,3,78000,0,0,0
676506bad68e4161b9bbaffeb039626b,M,37,15,92000,7,27,24.79714286
b7658a8eab2f42668a9d66499b001e88,F,57,27,81000,6,23,19.57666667
98df356ed5864c12a227be4fff503e42,Unspecified,118,11,0,4,25,1.95
a8719d4d305444579b2d2c1b777c3417,M,52,53,85000,6,22,21.20166667
bd215efd787d4305a006a56154fbcb67,M,41,24,41000,6,28,2.795
f5e59835627a49a0b13c4183522225d4,F,66,14,74000,4,12,15.325
f970eafddcb34154aa4d646b4a71ca34,F,66,35,87000,7,26,21.58571429
c4a3c86c7b5541cf83d443c2a89e5b5a,F,68,10,120000,5,16,25.96
4bbcb71a7f75455e9957413cf743fef7,M,20,30,70000,7,24,2.174285714
9ef935700f384fefa0e1a34f92555abd,M,43,14,42000,13,25,4.563076923
32fbf97e89274e8a935903f2ad095e1f,M,73,8,38000,10,22,9.622
f5e30345d068492b880e6e876bc72ff5,Unspecified,118,4,0,0,0,0
68081ac19eae44ba99b47c8e1d4161a4,F,42,15,56000,8,21,16.815
b268f71b99b94e1485ed1ccd4c20007b,M,82,27,110000,6,18,27.50166667
91d4029efe87429984d0152b669cea65,Unspecified,118,4,0,6,28,1.055
01ef4c6618b64334a15914ff9963eaac,F,70,9,92000,4,6,29.3
7a7aece75d5347bd869fbcf707aea6b1,F,42,10,71000,3,20,16.76
8f7dd3b2afe14c078eb4f6e6fe4ba97d,M,48,36,62000,6,25,15.08
8b5ae6d6547745d5adae0b0828de3f7d,F,53,36,93000,8,24,25.16875
66ccb31b29da4e9db3337fcfd5039c17,M,64,6,67000,0,0,0
dd0fe73d5e7b46e98304b1643394fe9e,M,79,7,90000,5,21,14.186
b0be9b4679204f82b937260a08e54eb0,M,51,28,55000,10,27,2.967
713a1ea744ee4267a741645078845eac,F,45,7,88000,0,0,0
f8756fc0eea24e7ba3ccd846efc4d0d5,F,48,27,105000,3,20,23.16666667
f65ef36215b24f5096aa9454b91ffeed,Unspecified,118,37,0,6,23,2.898333333
01e8739670a042b3877f8e843bdf55a7,F,54,34,119000,5,23,30.788
5e97488a58c641ea8ecb05a8e27fddc4,M,52,1,48000,8,23,3.5775
e6590c7f954f4ff482c069b45070b351,M,28,60,68000,10,27,16.611
bb9cf26ad43044a3b0dd90c22bbd05d1,M,69,52,47000,13,24,3.773846154
0861b9ca31b741bb8b411b18f82d18f6,M,73,14,92000,8,27,35.38125
599ad9ceb6f94a6283da40a556bdc262,Unspecified,118,12,0,0,0,0
eefbc1aac05142aeb0ce661d3a19ae48,F,67,12,71000,4,15,20.1225
cc40aaa447054294a86c75d79881e35a,F,76,2,34000,6,27,2.04
c34eaeb9e68248c382e4483328bb9867,F,55,33,53000,9,26,14.94888889
69b02748e2864894b9a425d079d806ca,F,89,2,83000,1,11,28.22
888e2bf068674fd6a62589c7c6218952,Unspecified,118,19,0,6,16,1.586666667
717a423a31284ce1b767cad1c471d968,M,57,4,41000,4,23,3.49
a384d6c6a6d844468bc2a3afe77e9d2d,Unspecified,118,25,0,4,25,3.745
ca900921cfdd4b11a432df6f46a3e26d,F,54,6,70000,0,0,0
b94c7601b17b41609daa2e3e56c3f53d,Unspecified,118,37,0,10,27,1.928
b4a4a6b9648a45baa15f438ffb5565e9,M,58,8,73000,5,29,3.012
eee612e774e8463baa95a9743ab2385d,Unspecified,118,12,0,4,26,3.555
1e78f244cac34e758dff086f30dbc1be,M,49,9,39000,1,7,3.07
07ebe89c877e4328b60f4e5676452ee1,F,73,3,79000,2,19,15.94
371d6b3a983547709252bbbcbedda147,F,58,18,76000,7,18,20.92
ea8a1cb1c56e42e4807e9ec27b95b97b,M,51,8,70000,4,21,4.525
