order_channel,last_order_channel,Tenure,Recency,Frequency,Spend,PerctOnlineOrders,PrectSpendOnline,Cosmetics,Clothing,Games,Groceries,Office Supplies
Android App,Offline,745,331,4,201.69,0.2500,0.2974,True,False,False,False,False
Desktop,Offline,234,101,2,654.89,0.5000,0.5114,False,False,False,True,True
Android App,Android App,703,117,8,600.65,0.3750,0.3237,True,True,True,True,True
Android App,Android App,1186,218,7,737.1,0.8571,0.8915,False,False,False,True,True
Android App,Mobile,1602,287,4,450.96,0.7500,0.6009,False,False,False,True,True
Desktop,Desktop,762,135,3,280.76,0.6667,0.6795,False,True,True,False,False
Mobile,Offline,1995,212,4,364.04,0.2500,0.1186,True,True,False,True,True
Mobile,Mobile,767,101,7,1055.37,0.5714,0.3311,False,True,True,False,False
Android App,Android App,784,254,2,211.96,0.5000,0.6698,False,True,False,False,False
Android App,Android App,758,283,4,384.91,0.2500,0.6494,False,True,True,False,False
Android App,Desktop,764,127,9,694.87,0.5556,0.6216,False,True,True,False,False
Android App,Android App,2620,127,6,710.89,0.6667,0.6906,False,False,False,True,True
Android App,Android App,617,350,4,1451.55,0.7500,0.8967,True,True,True,True,True
Android App,Android App,611,412,5,524.36,0.8000,0.8856,False,False,True,True,True
Mobile,Offline,655,318,6,805.4,0.6667,0.6630,True,True,True,True,True
Mobile,Desktop,1598,100,10,2038.65,0.9000,0.9755,False,False,True,True,True
Android App,Offline,1049,105,5,1281.36,0.2000,0.1607,True,False,True,True,True
Mobile,Mobile,542,117,2,201.3,0.5000,0.6498,False,False,False,False,False
Mobile,Mobile,1906,283,8,1371.45,0.8750,0.8979,True,True,False,True,True
Android App,Android App,628,122,7,790.87,0.8571,0.8230,True,True,False,False,False
Android App,Offline,511,185,2,273.85,0.5000,0.6316,False,False,True,False,False
Mobile,Mobile,907,356,3,700.78,0.3333,0.4109,False,False,False,True,True
Android App,Offline,1043,99,13,1633.45,0.2308,0.1732,True,True,True,True,True
Android App,Offline,655,253,3,550.38,0.3333,0.6539,True,False,False,False,False
Ios App,Ios App,779,136,2,283.23,0.5000,0.7176,False,False,False,False,False
Android App,Offline,866,171,13,1136.8,0.6923,0.5954,True,True,True,False,False
Mobile,Offline,604,288,4,444.95,0.2500,0.4270,True,False,False,True,True
Android App,Android App,1314,140,10,1461.75,0.9000,0.9590,False,True,True,False,False
Android App,Android App,622,156,9,1512.39,0.8889,0.9074,False,False,True,True,True
Android App,Android App,779,192,5,846.35,0.8000,0.7720,False,True,False,False,False
Android App,Android App,684,407,6,654.6,0.6667,0.6479,True,False,True,True,True
Desktop,Offline,725,352,4,321.95,0.2500,0.6522,False,True,False,False,False
Mobile,Mobile,889,291,2,229.98,0.5000,0.8261,True,False,False,False,False
Android App,Android App,1169,308,8,1298.84,0.7500,0.7929,True,True,False,False,False
Android App,Android App,748,167,2,139.98,0.5000,0.6429,False,False,True,False,False
Android App,Android App,838,278,6,579.94,0.5000,0.5690,True,False,True,False,False
Desktop,Offline,1896,97,4,515.94,0.2500,0.2326,False,False,True,True,True
Mobile,Offline,521,280,3,667.97,0.3333,0.3114,False,False,False,True,True
Ios App,Offline,625,282,5,591.12,0.4000,0.6786,False,True,False,False,False
Android App,Offline,469,429,2,556.46,0.5000,0.6038,True,False,False,True,True
Android App,Android App,1444,192,4,631.68,0.7500,0.6981,False,False,False,True,True
Desktop,Offline,2623,146,3,845.77,0.3333,0.1833,False,False,False,False,False
Android App,Offline,558,183,10,899.84,0.6000,0.6278,False,True,False,False,False
Android App,Android App,349,252,3,689.62,0.3333,0.3321,True,False,False,True,True
Desktop,Offline,725,149,5,535.38,0.4000,0.4948,False,False,False,True,True
Android App,Android App,1327,254,5,629.93,0.8000,0.5397,True,True,False,False,False
Desktop,Offline,1806,232,2,1078.99,0.5000,0.2586,False,False,False,False,False
Mobile,Mobile,940,135,2,479.19,0.5000,0.7496,False,False,False,False,False
Mobile,Offline,585,197,2,387.86,0.5000,0.4331,True,False,False,True,True
Android App,Android App,755,447,2,464.88,0.5000,0.7742,False,False,False,True,True
Mobile,Offline,1413,346,7,797.32,0.2857,0.4515,False,True,False,False,False
Android App,Android App,722,104,10,1508.71,0.8000,0.8873,True,True,True,True,True
Mobile,Offline,924,129,3,511.79,0.3333,0.4102,True,False,False,True,True
Android App,Android App,930,108,6,1517.55,0.3333,0.5342,False,False,True,True,True
Mobile,Mobile,918,101,4,484.37,0.2500,0.1734,True,True,True,False,False
Mobile,Mobile,603,204,4,889.37,0.7500,0.5840,False,False,False,True,True
Android App,Offline,469,203,2,232.48,0.5000,0.4839,False,False,False,False,False
Mobile,Mobile,931,277,3,565.44,0.6667,0.8762,True,False,False,True,True
Mobile,Offline,727,409,5,394.95,0.2000,0.2912,True,False,False,True,True
Android App,Offline,869,175,5,600.7,0.2000,0.2929,False,True,False,True,True
Mobile,Mobile,722,165,5,549.91,0.6000,0.5636,True,False,False,True,True
Mobile,Mobile,785,157,3,1055.89,0.6667,0.6619,False,True,True,False,False
Ios App,Ios App,712,141,5,926.85,0.8000,0.7735,False,True,False,False,False
Desktop,Offline,761,364,4,259.96,0.2500,0.2308,False,False,False,True,True
Desktop,Offline,1182,385,2,120.73,0.5000,0.1656,False,False,True,False,False
Android App,Offline,516,158,3,408.45,0.6667,0.5104,False,False,False,True,True
Mobile,Mobile,873,102,4,657.22,0.7500,0.8965,False,False,False,True,True
Mobile,Mobile,922,296,2,154.94,0.5000,0.9033,True,False,False,False,False
Android App,Offline,324,226,3,369.94,0.3333,0.2595,True,False,True,True,True
Android App,Offline,598,234,9,899.98,0.7778,0.6990,False,True,True,True,True
Desktop,Desktop,744,112,3,468.96,0.3333,0.3923,False,False,False,False,False
Android App,Offline,416,303,2,339.49,0.5000,0.8807,True,False,False,True,True
Android App,Android App,588,454,3,717.93,0.3333,0.8329,True,True,True,True,True
Android App,Offline,482,349,4,528.63,0.5000,0.5068,True,False,False,True,True
Mobile,Mobile,608,101,3,300.45,0.3333,0.5358,True,False,False,False,False
Android App,Android App,761,99,3,420.44,0.6667,0.8323,False,False,False,False,False
Desktop,Offline,2078,104,8,441.93,0.6250,0.7762,False,True,False,False,False
Desktop,Desktop,901,120,4,480.96,0.2500,0.3244,False,False,False,False,False
Ios App,Ios App,503,182,8,2147.96,0.8750,0.9686,True,True,False,False,False
Mobile,Mobile,1014,336,4,550.71,0.7500,0.6550,False,False,False,True,True
Desktop,Offline,2356,188,2,618.67,0.5000,0.0698,True,False,False,False,False
Mobile,Mobile,666,267,3,853.8,0.6667,0.6674,False,False,False,True,True
Android App,Offline,911,135,7,953.31,0.2857,0.1332,True,False,False,True,True
Desktop,Offline,613,389,5,863.24,0.4000,0.4289,True,False,False,False,False
Mobile,Offline,447,226,3,326.85,0.6667,0.8138,True,False,True,False,False
Ios App,Offline,686,382,2,564.78,0.5000,0.3803,False,False,False,True,True
Android App,Android App,594,233,3,369.88,0.3333,0.5945,True,False,False,False,False
Mobile,Mobile,808,439,3,318.46,0.6667,0.6232,False,True,False,False,False
Desktop,Offline,1046,170,4,305.75,0.2500,0.3431,False,True,True,False,False
Android App,Android App,642,321,8,2254.44,0.8750,0.9823,False,True,True,True,True
Desktop,Offline,2245,401,2,109.98,0.5000,0.7273,False,False,True,False,False
Android App,Offline,540,342,2,339.49,0.5000,0.7924,False,False,True,False,False
Android App,Android App,623,137,3,414.31,0.6667,0.6621,False,True,False,False,False
Desktop,Desktop,888,420,2,209.98,0.5000,0.4286,False,False,False,True,True
Android App,Android App,767,108,4,762.58,0.2500,0.2898,False,False,True,True,True
Desktop,Desktop,691,151,3,394.94,0.6667,0.8734,True,False,False,False,False
Android App,Offline,230,226,2,425.98,0.5000,0.4695,False,False,False,True,True
Ios App,Ios App,496,231,4,834.96,0.7500,0.9461,False,True,False,False,False
Mobile,Mobile,401,394,2,359.97,0.5000,0.7778,False,True,True,False,False
Desktop,Desktop,757,165,5,684.94,0.4000,0.2263,False,False,True,False,False
Ios App,Ios App,562,129,2,259.13,0.5000,0.6894,False,False,False,False,False
Android App,Android App,588,255,3,245.71,0.6667,0.4273,True,False,False,False,False
Ios App,Offline,617,382,5,1111.94,0.8000,0.9550,False,True,False,False,False
Android App,Android App,681,209,2,338.99,0.5000,0.7050,False,False,False,False,False
Android App,Android App,1533,127,8,2037.51,0.5000,0.5575,False,False,True,True,True
Mobile,Desktop,1759,113,37,12726.1,0.9730,0.9858,False,False,True,True,True
Android App,Android App,463,103,8,1302.9,0.8750,0.7652,True,True,True,True,True
Android App,Android App,1535,156,5,449.96,0.8000,0.6000,False,False,False,True,True
Ios App,Ios App,410,95,2,490.97,0.5000,0.7352,False,False,True,False,False
Ios App,Offline,708,101,3,451.91,0.3333,0.5532,False,False,False,False,False
Mobile,Mobile,920,198,3,290.95,0.6667,0.7251,False,True,False,False,False
Mobile,Mobile,609,175,2,194.98,0.5000,0.6923,False,False,False,True,True
Mobile,Mobile,776,261,2,300.88,0.5000,0.6677,False,False,True,True,True
Desktop,Offline,1087,202,2,439.87,0.5000,0.2728,False,False,False,False,False
Ios App,Ios App,538,136,4,531.84,0.2500,0.2256,True,False,False,False,False
Android App,Offline,701,106,5,590.94,0.4000,0.6616,False,True,False,False,False
Android App,Offline,552,203,3,224.95,0.3333,0.4000,True,True,True,True,True
Android App,Android App,774,270,3,402.85,0.6667,0.9007,True,True,True,False,False
Android App,Android App,622,153,6,647.67,0.6667,0.5666,False,True,False,False,False
Ios App,Ios App,620,279,2,273.47,0.5000,0.7788,True,False,True,False,False
Mobile,Desktop,1918,102,7,827.36,0.8571,0.7583,False,True,False,True,True
Android App,Android App,881,253,5,378.41,0.6000,0.6037,False,False,True,False,False
Mobile,Mobile,736,110,6,1711.86,0.5000,0.6180,False,False,False,True,True
Mobile,Mobile,141,106,3,602.47,0.3333,0.2697,False,False,False,False,False
Android App,Offline,881,203,5,628.81,0.4000,0.5453,True,True,False,False,False
Ios App,Offline,882,240,5,1016.83,0.2000,0.3068,True,False,True,False,False
Android App,Offline,465,135,9,1081.4,0.6667,0.7360,True,False,True,True,True
Mobile,Offline,505,127,4,830.94,0.5000,0.1937,False,False,False,True,True
Mobile,Offline,596,294,5,808.92,0.2000,0.2973,True,False,True,False,False
Android App,Mobile,1744,444,13,1322.01,0.9231,0.9773,False,True,False,False,False
Mobile,Mobile,782,133,6,949.92,0.1667,0.2316,True,True,False,True,True
Mobile,Offline,644,260,3,820.88,0.3333,0.5188,True,False,False,True,True
Desktop,Offline,987,420,4,317.16,0.2500,0.4010,False,False,True,False,False
Android App,Android App,921,160,4,617.92,0.2500,0.2395,True,False,False,False,False
Android App,Offline,1142,329,5,753.95,0.6000,0.7202,False,True,False,False,False
Desktop,Offline,528,162,2,162.97,0.5000,0.4417,True,False,False,False,False
Android App,Android App,290,235,7,1531.68,0.8571,0.9344,False,False,False,True,True
Mobile,Mobile,891,319,4,1329.79,0.7500,0.9474,True,True,True,False,False
Android App,Android App,781,304,5,680.69,0.2000,0.2057,False,False,False,True,True
Mobile,Mobile,771,273,21,3364.53,0.0476,0.0772,False,False,False,True,True
Ios App,Ios App,582,107,13,1549.9,0.6923,0.7663,True,True,False,True,True
Mobile,Mobile,670,165,3,317.87,0.3333,0.3363,False,False,False,True,True
Mobile,Offline,494,202,2,441.97,0.5000,0.4344,False,False,False,True,True
Ios App,Ios App,202,130,2,217.85,0.5000,0.4957,True,True,False,False,False
Desktop,Desktop,574,293,4,612.65,0.7500,0.7671,False,True,False,True,True
Android App,Offline,475,353,3,498.89,0.6667,0.8998,False,True,False,False,False
Ios App,Ios App,692,171,2,273.98,0.5000,0.5255,True,False,False,False,False
Mobile,Mobile,303,215,2,582.9,0.5000,0.5711,False,False,False,True,True
Mobile,Mobile,892,105,8,1252.89,0.6250,0.7519,True,False,False,False,False
Desktop,Offline,418,161,3,326.47,0.3333,0.1715,True,False,True,True,True
Android App,Android App,784,97,3,439.46,0.6667,0.7258,False,False,False,False,False
Android App,Android App,893,330,3,424.95,0.3333,0.1412,False,False,False,True,True
Desktop,Desktop,403,245,3,857.39,0.3333,0.2099,True,False,False,True,True
Mobile,Mobile,743,230,3,315.93,0.6667,0.6836,False,False,True,True,True
Android App,Offline,630,141,3,600.85,0.3333,0.4825,False,True,False,True,True
Android App,Android App,319,104,3,403.4,0.3333,0.4845,False,False,True,True,True
Mobile,Mobile,649,345,2,284.97,0.5000,0.4491,False,False,True,False,False
Ios App,Offline,1719,421,6,790.4,0.8333,0.7966,False,False,False,True,True
Android App,Mobile,584,100,6,1010.51,0.8333,0.8956,True,False,False,True,True
Android App,Offline,924,307,5,1469.34,0.2000,0.1905,True,False,False,True,True
Android App,Android App,661,102,2,143.98,0.5000,0.7223,False,False,False,False,False
Mobile,Mobile,783,413,3,247.46,0.3333,0.6161,False,True,True,False,False
Desktop,Desktop,375,375,2,300.48,0.5000,0.4992,False,False,True,False,False
Android App,Android App,931,224,6,613.93,0.8333,0.7883,False,True,False,True,True
Mobile,Mobile,423,104,2,155.97,0.5000,0.3557,False,True,False,False,False
Mobile,Mobile,919,202,3,302.96,0.3333,0.3564,False,False,True,False,False
Android App,Offline,426,146,2,455.98,0.5000,0.5614,False,False,False,True,True
Android App,Android App,887,222,2,184.58,0.5000,0.7021,False,False,False,False,False
Mobile,Mobile,768,240,7,1469.09,0.8571,0.9660,False,False,False,True,True
Android App,Offline,475,283,3,321.94,0.3333,0.4720,False,True,True,False,False
Android App,Android App,923,233,11,1131.24,0.5455,0.5404,False,False,False,True,True
Android App,Android App,931,203,6,690.89,0.8333,0.9276,False,True,False,True,True
Android App,Android App,917,120,8,849.32,0.5000,0.4938,True,True,False,True,True
Mobile,Offline,657,100,3,617.39,0.3333,0.4979,False,False,False,True,True
Android App,Offline,593,197,3,430.37,0.3333,0.2091,False,False,True,True,True
Android App,Android App,616,121,3,478.45,0.6667,0.7283,False,False,False,False,False
Android App,Android App,638,124,4,506.44,0.2500,0.1669,False,True,True,True,True
Android App,Android App,669,248,7,1413.39,0.4286,0.2037,False,False,True,False,False
Desktop,Desktop,922,459,2,185.98,0.5000,0.5161,False,False,True,False,False
Android App,Android App,696,224,2,234.97,0.5000,0.4468,True,True,False,False,False
Ios App,Ios App,922,255,4,569.96,0.5000,0.8421,False,False,True,False,False
Desktop,Offline,2112,368,3,385.47,0.3333,0.3372,False,False,False,True,True
Mobile,Offline,928,254,4,301.77,0.2500,0.4307,False,True,True,False,False
Android App,Android App,434,430,2,310.93,0.5000,0.9035,True,True,False,False,False
Android App,Android App,597,436,2,239.97,0.5000,0.3750,False,False,False,True,True
Desktop,Offline,1248,446,7,398.68,0.4286,0.2696,False,True,False,False,False
Android App,Android App,801,238,6,716.93,0.8333,0.5899,True,False,False,False,False
Android App,Android App,883,140,3,505.92,0.3333,0.6127,False,True,False,False,False
Android App,Android App,736,276,2,195.92,0.5000,0.8214,False,True,False,False,False
Ios App,Offline,867,299,7,907.87,0.1429,0.3387,False,True,True,True,True
Mobile,Mobile,757,192,3,295.19,0.3333,0.4242,False,True,False,False,False
Android App,Android App,870,249,3,659.14,0.6667,0.8180,False,False,False,False,False
Desktop,Offline,1501,305,2,244.97,0.5000,0.2449,True,False,False,False,False
Ios App,Ios App,634,117,7,1031.92,0.4286,0.4070,False,False,True,False,False
Ios App,Offline,983,99,12,2692.23,0.7500,0.5301,False,True,False,True,True
Ios App,Ios App,921,155,7,970.25,0.7143,0.8094,True,False,True,True,True
Android App,Android App,874,96,12,2193.81,0.8333,0.9316,True,True,False,True,True
Desktop,Offline,1264,206,3,450.95,0.6667,0.3548,True,False,False,True,True
Ios App,Offline,864,202,2,209.89,0.5000,0.2854,False,False,False,True,True
Ios App,Ios App,738,99,4,694.63,0.5000,0.5970,False,False,True,False,False
Mobile,Mobile,1997,205,7,1307.84,0.8571,0.8777,False,False,True,False,False
Desktop,Desktop,782,168,2,758.79,0.5000,0.3413,True,False,False,False,False
Desktop,Offline,704,258,4,579.93,0.5000,0.5172,True,False,True,False,False
Android App,Android App,586,123,4,713.18,0.5000,0.4522,False,True,False,False,False
Mobile,Offline,2054,424,7,650.91,0.7143,0.7235,True,False,True,False,False
Android App,Android App,927,236,3,589.96,0.3333,0.3559,False,False,True,False,False
Mobile,Offline,665,238,3,540.94,0.3333,0.3327,False,False,False,True,True
Android App,Android App,1186,113,10,1028.26,0.9000,0.9311,True,True,True,True,True
Mobile,Mobile,1023,278,6,722.58,0.5000,0.4327,False,False,False,False,False
Mobile,Offline,612,447,4,501.44,0.2500,0.2193,False,True,False,False,False
Mobile,Mobile,933,222,3,212.96,0.6667,0.5774,False,True,False,False,False
Mobile,Mobile,771,126,4,331.95,0.7500,0.8795,False,True,False,False,False
Ios App,Ios App,721,120,3,395.95,0.6667,0.8738,False,False,False,True,True
Ios App,Android App,2379,99,13,1671.72,0.9231,0.9133,True,False,False,True,True
Android App,Android App,218,102,2,288.95,0.5000,0.6229,True,False,False,False,False
Android App,Offline,1509,136,6,690.3,0.5000,0.4056,True,False,True,True,True
Android App,Offline,720,161,18,617.68,0.1667,0.3908,True,False,True,True,True
Android App,Android App,701,151,5,614.95,0.4000,0.5122,False,True,True,True,True
Mobile,Mobile,923,205,3,282.96,0.3333,0.2226,False,True,False,False,False
Android App,Offline,1556,99,9,1091.26,0.8889,0.8076,True,False,True,False,False
Mobile,Mobile,622,457,2,209.98,0.5000,0.2857,False,False,False,True,True
Android App,Android App,712,278,2,534.31,0.5000,0.5509,False,False,False,True,True
Desktop,Desktop,727,408,2,129.98,0.5000,0.6154,False,True,False,False,False
Android App,Offline,505,160,3,340.91,0.6667,0.4868,True,False,True,False,False
Mobile,Mobile,1221,247,4,392.96,0.7500,0.7964,False,False,True,False,False
Android App,Desktop,748,267,5,761.73,0.8000,0.9606,False,False,True,True,True
Desktop,Desktop,646,317,5,940.93,0.2000,0.5101,True,False,True,True,True
Desktop,Desktop,992,457,3,411.87,0.6667,0.9029,False,False,False,True,True
Desktop,Desktop,892,116,2,165.98,0.5000,0.5783,True,False,False,False,False
Android App,Mobile,1282,169,6,570.94,0.8333,0.9300,False,True,False,False,False
Desktop,Desktop,199,182,2,413.93,0.5000,0.2753,False,False,False,True,True
Android App,Android App,668,142,4,1000.17,0.7500,0.9100,False,False,False,True,True
Android App,Android App,787,205,4,710.91,0.2500,0.0985,True,False,False,False,False
Desktop,Offline,2255,282,8,1104.31,0.8750,0.7280,False,False,False,True,True
Desktop,Offline,592,164,3,364.97,0.3333,0.3425,False,False,False,True,True
Ios App,Ios App,643,108,6,1156.52,0.8333,0.8591,False,False,False,True,True
Android App,Android App,785,228,6,856.58,0.3333,0.3180,False,False,False,True,True
Desktop,Offline,1276,351,4,942.85,0.2500,0.1908,True,False,False,False,False
Android App,Android App,770,151,6,1043.97,0.8333,0.9234,False,True,False,True,True
Android App,Offline,921,149,6,992.81,0.3333,0.5056,False,False,False,False,False
Desktop,Offline,922,107,4,423.86,0.2500,0.1274,True,True,False,False,False
Ios App,Ios App,717,295,3,832.91,0.6667,0.7839,False,False,True,False,False
Android App,Android App,797,252,6,496.92,0.1667,0.2253,False,True,False,False,False
Android App,Android App,200,165,6,1488.53,0.8333,0.9328,True,False,False,True,True
Ios App,Offline,875,195,7,750.86,0.2857,0.2344,True,True,True,True,True
Ios App,Offline,1284,206,3,817.6,0.3333,0.3631,False,False,False,True,True
Android App,Android App,884,189,15,2650.07,0.8667,0.7485,True,True,True,True,True
Mobile,Offline,1818,189,13,1270.39,0.7692,0.6848,True,False,False,False,False
Ios App,Ios App,562,441,2,490.73,0.5000,0.6113,False,False,False,True,True
Android App,Android App,656,114,4,415.95,0.5000,0.3750,True,False,False,True,True
Android App,Offline,924,370,11,1918.72,0.4545,0.5070,False,False,False,True,True
Android App,Android App,864,454,2,401.97,0.5000,0.4527,False,False,False,True,True
Android App,Offline,762,420,5,465.46,0.2000,0.4619,False,True,False,False,False
Mobile,Mobile,876,389,2,232.96,0.5000,0.2575,True,False,False,False,False
Android App,Offline,473,287,3,406.94,0.3333,0.2137,True,False,False,True,True
Android App,Android App,746,107,2,196.57,0.5000,0.8983,False,False,False,False,False
Android App,Android App,1014,407,11,1586.75,0.6364,0.6723,True,False,False,False,False
Ios App,Android App,897,102,9,1284.83,0.8889,0.9798,False,False,True,True,True
Android App,Mobile,884,196,10,1188.35,0.8000,0.6327,True,False,True,True,True
Mobile,Mobile,343,272,2,466.97,0.5000,0.9465,False,True,True,True,True
Android App,Offline,638,133,8,988.99,0.3750,0.4129,True,True,True,True,True
Android App,Offline,1327,105,8,1272.12,0.7500,0.6777,False,False,False,False,False
Android App,Android App,674,158,4,633.42,0.5000,0.5770,False,True,True,True,True
Android App,Android App,594,278,5,687.43,0.6000,0.4436,False,True,True,True,True
Mobile,Mobile,652,111,3,509.95,0.3333,0.3137,True,False,False,False,False
Desktop,Desktop,737,318,2,439.97,0.5000,0.5227,False,False,False,True,True
Android App,Android App,756,98,4,656.88,0.5000,0.7755,True,False,False,True,True
Mobile,Mobile,929,280,3,397.91,0.3333,0.7739,False,False,False,True,True
Desktop,Desktop,896,190,2,945.39,0.5000,0.9260,False,False,False,False,False
Android App,Offline,922,160,4,372.88,0.2500,0.4158,True,False,True,False,False
Mobile,Mobile,146,120,2,355.65,0.5000,0.2972,False,False,False,True,True
Ios App,Ios App,987,440,8,872.44,0.8750,0.8854,False,False,True,False,False
Mobile,Mobile,230,134,2,446.97,0.5000,0.4832,False,False,True,True,True
Android App,Android App,633,281,2,274.97,0.5000,0.4909,False,True,True,False,False
Ios App,Ios App,668,155,5,458.37,0.6000,0.6706,False,True,True,False,False
Android App,Android App,920,429,2,369.97,0.5000,0.3243,False,False,False,True,True
Ios App,Ios App,621,277,3,399.97,0.6667,0.7250,True,False,False,False,False
Mobile,Mobile,423,341,2,386.72,0.5000,0.4137,False,False,True,True,True
Mobile,Offline,2655,438,3,880.7,0.6667,0.4769,True,False,True,True,True
Android App,Offline,997,107,4,1184.74,0.7500,0.4338,True,True,False,True,True
Ios App,Ios App,607,146,11,1394.72,0.7273,0.6444,True,False,True,False,False
Android App,Offline,719,106,4,270.71,0.2500,0.4802,False,True,False,False,False
Mobile,Mobile,617,123,2,503.19,0.5000,0.7615,False,False,False,True,True
Ios App,Ios App,926,172,7,1455.04,0.8571,0.9863,True,False,False,False,False
Mobile,Mobile,926,185,5,610.33,0.8000,0.6232,True,True,True,True,True
Android App,Android App,334,225,3,405.45,0.6667,0.5426,True,False,True,False,False
Android App,Android App,882,232,8,727.33,0.2500,0.2638,True,False,False,True,True
Desktop,Desktop,948,218,3,417.64,0.6667,0.5912,False,False,False,False,False
Android App,Android App,899,230,6,819.92,0.6667,0.8049,False,True,False,True,True
Desktop,Desktop,799,298,2,276.96,0.5000,0.7112,False,False,True,True,True
Ios App,Android App,660,203,5,1025.78,0.6000,0.2690,False,True,False,True,True
Android App,Android App,781,223,3,254.94,0.6667,0.8824,False,True,False,False,False
Mobile,Mobile,2752,263,6,374.31,0.5000,0.5993,True,False,False,False,False
Android App,Android App,999,367,18,2682.03,0.7222,0.7388,False,True,False,False,False
